CompanyCd,CompanyNm,companyPartNames,ceoNm
20241795,슈가솔트페퍼,제작사,"윤지원, 구인회, 박우진"
20139335,영화사 달리기,"제작사,배급사",박두희
20241701,주식회사 스튜디오플럼,"제작사,배급사","윤준희, 유은숙"
20192241,키치스 프로덕션,제작사,"황욱, 임동민"
20241794,주식회사 인터콤,부가시장,장원규
20203424,(주)영화사 설렘,제작사,안수연
20241841,주식회사 에너제딕컴퍼니,제작사,장재은
20241793,정감스토리,제작사,정진미
20241826,(주)니즈텔레콤,,이광범
20241792,투비플랫폼,"제작사,배급사",장성철
20241825,㈜클엔터테인먼트,제작사,김홍석
20241791,차이필름,제작사,채건우
20241790,주식회사 나무거꾸로서다,제작사,우혜원
20241789,주식회사 더케이스튜디오,제작사,김이환
20241788,브레이브필름,제작사,김희수
20241787,빛의 이중성,제작사,태준식
20241822,마이너필름,제작사,홍연이
20241786,람람필름,제작사,김소람
20188561,에코 앤 씨,제작사,조은희
20241566,주식회사 스태넘,제작사,최수연
20241821,환상특급,제작사,장수영
20241785,심마니동굴,제작사,심민희
20241783,망각필름,제작사,장영진
20230129,유한책임회사 느루,"제작사,배급사,수입사,상영업",정원석
20241802,(주)키네마인,제작사,손영선
20241801,요지경필름,제작사,
20241781,㈜브레드이발소,제작사,
20188442,153스튜디오,제작사,황동석
20168849,독포레스트,"배급사,수입사",임성철
20241762,메타코미디,제작사,
20241761,주식회사 나인픽처스,제작사,이승연
20141469,플러스엠 엔터테인먼트,"제작사,배급사,수입사",홍정인
20141508,"애니메이션 배급, 씨앗","제작사,배급사,해외세일즈사",최유진
20176161,J-one,제작사,고용진
20241743,청춘갈피,제작사,손성진
20241742,영화사 바탕,제작사,김효관
20241634,구산 필름,제작사,권효
20241741,주식회사 비에이더블유컴퍼니,제작사,이은경
20000307,케이케이시네마(주),제작사,김행수
20241632,그랜드마더필름,제작사,이영인
20173201,영화사 잠,제작사,이완민
20140742,(주)어바웃잇,제작사,김성환
20100123,(주)싸이더스,"제작사,배급사,수입사","이한대, 조성완"
20192501,(주)디파이어커뮤니케이션,"제작사,배급사",권우현
20241631,사보타지 필름,제작사,
20217822,다큐플러스,"제작사,배급사",김동현
20160322,아트랩,제작사,"김시연, 박서은"
20241630,덕덕구스,제작사,전주영
20241628,주식회사 필르머,"제작사,배급사",고경표
20241703,팀레몬,제작사,최세진
20230708,에스지엔터테인먼트(주),"제작사,배급사",최준완
20241702,에프터쏟,제작사,이연철
20241629,영화사 무중력,제작사,여선화
20216703,상구네,"제작사,배급사",김태일
20241624,주식회사 다시봄,"제작사,배급사",김한길
20229272,(주)다시봄이엔티,"제작사,배급사",김한길
20139617,(주)리틀빅픽쳐스,배급사,권지원
20241626,8픽처스,제작사,원신연
20241569,킹스민,부가시장,김건민
20241627,주식회사 투사이드나인,"제작사,배급사",최지윤
20176144,닷팩토리,제작사,손현경
20230941,스모크필름,제작사,김진웅
20141069,미라클필름,제작사,최미라
20161941,(주)디오시네마,"제작사,배급사,수입사",한동희
20172721,커넥트픽쳐스(주),"제작사,배급사,수입사",남기웅
20241623,주식회사 제이포엔터테인먼트,"제작사,배급사","이종필, 이승재"
20241681,주식회사 버뮤다프로젝트,"제작사,배급사",제갈원
20241682,주식회사 보라스톤,"제작사,수입사",최현영
20203103,무니필름,"제작사,배급사",최정문
